"Pickup Manifest","Afhaalbon"
"Carrier","Vervoerder"
"Pickup Date","Afhaaldatum"
"Document","Document"
"No","Nr."
"Tracking Number","Trackingnummer"
"Contact Person","Contactpersoon"
"Item Code","Artikelcode"
"Qty","Aantal"
"Total Packages","Totaal pakketten"
"Total Quantity","Totaal aantal"
"Received by (Courier)","Ontvangen door (koerier)"
"Name","Naam"
"Vehicle Plate","Nummerplaat"
"Signature","Handtekening"
"Generate from Pickup Date","Genereren op afhaaldatum"
"Generate Pickup Manifests","Afhaalbonnen genereren"
"Generate","Genereren"
"Manifests Created","Bonnen aangemaakt"
"Manifest","Bon"
"Packages","Pakketten"
